SECID,ISIN,SHORTNAME,RATING,RATING_SCORE,YEARS_TO_MATURITY,MATDATE,FACEVALUE,LASTPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,ACCRUEDINT,COUPONPERCENT,YTM_PCT,CURRENT_YIELD_PCT
RU000A100QA0,RU000A100QA0,Самолет1P6,A-,6.0,3.26,2029-08-01,1000,97.64,976.4,1036.5,60.1,18.75,22.59,19.2
RU000A100SZ3,RU000A100SZ3,ПочтаРБ1P6,AA,2.0,3.32,2029-08-23,1000,99.83,998.3,1047.18,48.88,15.25,16.21,15.28
RU000A100T81,RU000A100T81,ЮниМетр01,Нет данных,,0.27,2026-08-03,250,98.2,245.5,255.12,9.62,12.0,20.77,12.22
RU000A100TB2,RU000A100TB2,ПНППК 1P01,Нет данных,,3.34,2029-08-28,1000,110.88,1108.8,1166.5,57.7,18.0,14.61,16.23
RU000A100UT2,RU000A100UT2,ПочтаРБ1P8,AA,2.0,3.38,2029-09-11,1000,101.16,1011.6,1069.94,58.34,18.2,15.46,17.99
RU000A100VG7,RU000A100VG7,СУЭК-Ф1P3R,A+,4.0,3.38,2029-09-13,1000,90.5,905.0,911.73,6.73,2.1,14.12,2.32
RU000A100VX2,RU000A100VX2,МБЭС 1P-01,AAA,0.0,3.42,2029-09-26,1000,100.92,1009.2,1055.68,46.48,14.5,14.23,14.37
RU000A100W60,RU000A100W60,ЕвропланБ3,AA,2.0,3.4,2029-09-20,1000,104.34,1043.4,1105.91,62.51,19.5,14.76,18.69
RU000A100WF7,RU000A100WF7,Новосиб10,A-,6.0,0.45,2026-10-08,300,98.77,296.31,303.33,7.02,7.3,10.53,7.39
RU000A100XC2,RU000A100XC2,Полюс Б1P1,AAA,0.0,3.43,2029-10-01,1000.0,,,,0.0,,,
RU000A100YQ0,RU000A100YQ0,Роснфт2P9,AAA,0.0,3.46,2029-10-11,1000,94.02,940.2,969.05,28.85,9.0,11.58,9.57
RU000A100YY4,RU000A100YY4,ИА ДОМ11P2,AAA,0.0,23.76,2050-01-28,187.45,87.49,164.0,168.27,4.27,7.1,0.0,8.12
RU000A100ZB9,RU000A100ZB9,ИА ДОМ10P2,AAA,0.0,23.42,2049-09-28,163.08,91.99,150.02,154.25,4.23,8.086,0.0,8.79
RU000A101012,RU000A101012,Систем1P12,AA-,3.0,3.49,2029-10-23,1000,107.36,1073.6,1131.3,57.7,18.0,10.38,16.77
RU000A1010B7,RU000A1010B7,ТрнфБО1P13,AAA,0.0,0.51,2026-10-30,1000,96.74,967.4,989.36,21.96,6.85,14.2,7.08
RU000A1010D3,RU000A1010D3,Якут-13 об,A+,4.0,0.52,2026-11-02,300,97.34,292.02,298.7,6.68,6.95,14.09,7.14
RU000A1011B5,RU000A1011B5,КраснодКр3,AA,2.0,0.54,2026-11-12,400,96.66,386.64,395.55,8.91,6.95,14.11,7.19
RU000A1013N6,RU000A1013N6,ПионЛизБП3,B,14.0,3.44,2029-10-04,1000,81.17,811.7,879.02,67.32,21.0,34.25,25.87
RU000A1013P1,RU000A1013P1,ВЭБ1P-18,AAA,0.0,0.56,2026-11-17,1000,96.53,965.3,988.6,23.3,7.27,14.43,7.53
RU000A1013U1,RU000A1013U1,Славнеф1Р3,AA,2.0,3.55,2029-11-15,1000,103,1030.0,1081.13,51.13,15.95,14.52,15.49
RU000A1014J2,RU000A1014J2,ВТБ Т2-3,AAA,0.0,4.07,2030-05-21,10000000,100.05,10005000.0,10589038.36,584038.36,18.22,19.01,18.21
RU000A1014U9,RU000A1014U9,ТП Кир 1P1,Нет данных,,3.57,2029-11-21,1000,100,1000.0,1067.32,67.32,21.0,22.43,21.0
RU000A101590,RU000A101590,ДОМ 1P-7R,AAA,0.0,13.54,2039-11-11,1000,106.7,1067.0,1115.08,48.08,15.0,-38.41,14.06
RU000A1015T8,RU000A1015T8,"Апт36,61P1",BBB+,7.0,3.59,2029-11-30,1000,100,1000.0,1060.9,60.9,19.0,15.33,19.0
RU000A1016B4,RU000A1016B4,ИА ДОМ12P2,AAA,0.0,23.25,2049-07-28,206.06,,,,5.94,8.994,0.0,
RU000A1016N9,RU000A1016N9,СвердлОбл6,AA,2.0,0.64,2026-12-15,250,96.56,241.4,246.77,5.37,6.7,13.02,6.94
RU000A101780,RU000A101780,РСЭКСМБ2Р1,AA+,1.0,3.61,2029-12-06,1000,101.33,1013.3,1058.11,44.81,13.98,4.11,13.8
